name,stars,age_in_years,releases,primary_language,url
lipangit/JiaoZiVideoPlayer,10487,9.14,78,Java,https://github.com/lipangit/JiaoZiVideoPlayer
tbruyelle/RxPermissions,10484,9.49,11,Java,https://github.com/tbruyelle/RxPermissions
asLody/VirtualApp,10461,8.72,0,Java,https://github.com/asLody/VirtualApp
datahub-project/datahub,10454,9.36,96,Java,https://github.com/datahub-project/datahub
opensearch-project/OpenSearch,10396,4.15,53,Java,https://github.com/opensearch-project/OpenSearch
JessYanCoding/MVPArms,10283,8.64,25,Java,https://github.com/JessYanCoding/MVPArms
Activiti/Activiti,10274,12.54,1000,Java,https://github.com/Activiti/Activiti
JakeWharton/ViewPagerIndicator,10120,13.65,0,Java,https://github.com/JakeWharton/ViewPagerIndicator
resilience4j/resilience4j,10056,9.82,35,Java,https://github.com/resilience4j/resilience4j
xpipe-io/xpipe,10056,2.16,98,Java,https://github.com/xpipe-io/xpipe
LawnchairLauncher/lawnchair,10009,8.07,29,Java,https://github.com/LawnchairLauncher/lawnchair
beemdevelopment/Aegis,9986,8.61,69,Java,https://github.com/beemdevelopment/Aegis
