name,stars,age_in_years,releases,primary_language,url
asLody/VirtualApp,10445,8.70,0,Java,https://github.com/asLody/VirtualApp
datahub-project/datahub,10414,9.33,96,Java,https://github.com/datahub-project/datahub
opensearch-project/OpenSearch,10360,4.13,52,Java,https://github.com/opensearch-project/OpenSearch
JessYanCoding/MVPArms,10282,8.62,25,Java,https://github.com/JessYanCoding/MVPArms
Activiti/Activiti,10266,12.51,1000,Java,https://github.com/Activiti/Activiti
JakeWharton/ViewPagerIndicator,10121,13.63,0,Java,https://github.com/JakeWharton/ViewPagerIndicator
resilience4j/resilience4j,10035,9.79,35,Java,https://github.com/resilience4j/resilience4j
LawnchairLauncher/lawnchair,9968,8.04,29,Java,https://github.com/LawnchairLauncher/lawnchair
beemdevelopment/Aegis,9944,8.59,69,Java,https://github.com/beemdevelopment/Aegis
zfile-dev/zfile,9926,5.58,61,Java,https://github.com/zfile-dev/zfile
wasabeef/glide-transformations,9917,10.19,0,Java,https://github.com/wasabeef/glide-transformations
googlesamples/easypermissions,9893,9.24,12,Java,https://github.com/googlesamples/easypermissions
awsdocs/aws-doc-sdk-examples,9881,8.58,0,Java,https://github.com/awsdocs/aws-doc-sdk-examples
paascloud/paascloud-master,9869,7.01,0,Java,https://github.com/paascloud/paascloud-master
ssssssss-team/spider-flow,9850,4.97,2,Java,https://github.com/ssssssss-team/spider-flow
uknownothingsnow/JsBridge,9823,10.06,0,Java,https://github.com/uknownothingsnow/JsBridge
stanfordnlp/CoreNLP,9816,11.73,17,Java,https://github.com/stanfordnlp/CoreNLP
hackware1993/MagicIndicator,9765,8.73,12,Java,https://github.com/hackware1993/MagicIndicator
HarlonWang/AVLoadingIndicatorView,9752,9.40,1,Java,https://github.com/HarlonWang/AVLoadingIndicatorView
YoKeyword/Fragmentation,9726,9.07,30,Java,https://github.com/YoKeyword/Fragmentation
StarRocks/starrocks,9688,3.53,133,Java,https://github.com/StarRocks/starrocks
perwendel/spark,9653,13.88,0,Java,https://github.com/perwendel/spark
ksoichiro/Android-ObservableScrollView,9650,10.36,0,Java,https://github.com/ksoichiro/Android-ObservableScrollView
react-native-camera/react-native-camera,9648,9.97,144,Java,https://github.com/react-native-camera/react-native-camera
lihengming/spring-boot-api-project-seed,9624,7.74,4,Java,https://github.com/lihengming/spring-boot-api-project-seed
OpenFeign/feign,9611,11.73,38,Java,https://github.com/OpenFeign/feign
liaohuqiu/android-Ultra-Pull-To-Refresh,9581,10.35,8,Java,https://github.com/liaohuqiu/android-Ultra-Pull-To-Refresh
koral--/android-gif-drawable,9577,12.13,61,Java,https://github.com/koral--/android-gif-drawable
bilibili/DanmakuFlameMaster,9569,11.60,5,Java,https://github.com/bilibili/DanmakuFlameMaster
microg/GmsCore,9550,10.90,38,Java,https://github.com/microg/GmsCore
MyCATApache/Mycat-Server,9541,10.29,7,Java,https://github.com/MyCATApache/Mycat-Server
umano/AndroidSlidingUpPanel,9509,11.80,8,Java,https://github.com/umano/AndroidSlidingUpPanel
signalapp/Signal-Server,9426,11.28,0,Java,https://github.com/signalapp/Signal-Server
SonarSource/sonarqube,9397,14.20,59,Java,https://github.com/SonarSource/sonarqube
pockethub/PocketHub,9386,13.53,1,Java,https://github.com/pockethub/PocketHub
crossoverJie/cim,9375,6.83,8,Java,https://github.com/crossoverJie/cim
Justson/AgentWeb,9305,7.85,21,Java,https://github.com/Justson/AgentWeb
xuchengsheng/spring-reading,9276,1.50,0,Java,https://github.com/xuchengsheng/spring-reading
android/testing-samples,9242,10.44,0,Java,https://github.com/android/testing-samples
GcsSloop/AndroidNote,9229,9.20,0,Java,https://github.com/GcsSloop/AndroidNote
huanghaibin-dev/CalendarView,9218,8.02,1,Java,https://github.com/huanghaibin-dev/CalendarView
apache/cassandra,9082,15.83,0,Java,https://github.com/apache/cassandra
cats-oss/android-gpuimage,9067,12.46,0,Java,https://github.com/cats-oss/android-gpuimage
json-path/JsonPath,9062,14.15,10,Java,https://github.com/json-path/JsonPath
spring-projects/spring-security,9020,13.19,210,Java,https://github.com/spring-projects/spring-security
didi/VirtualAPK,9016,7.72,4,Java,https://github.com/didi/VirtualAPK
navasmdc/MaterialDesignLibrary,8985,10.47,3,Java,https://github.com/navasmdc/MaterialDesignLibrary
seven332/EhViewer,8964,10.85,97,Java,https://github.com/seven332/EhViewer
KunMinX/Jetpack-MVVM-Best-Practice,8907,5.38,0,Java,https://github.com/KunMinX/Jetpack-MVVM-Best-Practice
ashishps1/awesome-leetcode-resources,8851,1.39,0,Java,https://github.com/ashishps1/awesome-leetcode-resources
nathanmarz/storm,8821,13.51,0,Java,https://github.com/nathanmarz/storm
laobie/StatusBarUtil,8807,9.09,0,Java,https://github.com/laobie/StatusBarUtil
Freelander/Android_Data,8772,9.96,0,Java,https://github.com/Freelander/Android_Data
xpipe-io/xpipe,8744,2.14,95,Java,https://github.com/xpipe-io/xpipe
Blankj/awesome-java-leetcode,8706,7.92,0,Java,https://github.com/Blankj/awesome-java-leetcode
chrisbanes/Android-PullToRefresh,8700,13.31,0,Java,https://github.com/chrisbanes/Android-PullToRefresh
ybq/Android-SpinKit,8650,9.00,0,Java,https://github.com/ybq/Android-SpinKit
java-native-access/jna,8648,13.89,0,Java,https://github.com/java-native-access/jna
apache/jmeter,8632,14.82,10,Java,https://github.com/apache/jmeter
flyway/flyway,8599,12.26,244,Java,https://github.com/flyway/flyway
chrisjenx/Calligraphy,8583,11.25,4,Java,https://github.com/chrisjenx/Calligraphy
shwenzhang/AndResGuard,8581,9.44,4,Java,https://github.com/shwenzhang/AndResGuard
facebook/buck,8559,11.92,57,Java,https://github.com/facebook/buck
apache/shenyu,8550,6.69,11,Java,https://github.com/apache/shenyu
airbnb/epoxy,8537,8.61,76,Java,https://github.com/airbnb/epoxy
junit-team/junit4,8529,16.18,13,Java,https://github.com/junit-team/junit4
react-native-image-picker/react-native-image-picker,8524,9.78,141,Java,https://github.com/react-native-image-picker/react-native-image-picker
dropwizard/dropwizard,8524,14.17,176,Java,https://github.com/dropwizard/dropwizard
checkstyle/checkstyle,8515,11.55,159,Java,https://github.com/checkstyle/checkstyle
karatelabs/karate,8484,8.11,54,Java,https://github.com/karatelabs/karate
amitshekhariitbhu/Android-Debug-Database,8462,8.34,14,Java,https://github.com/amitshekhariitbhu/Android-Debug-Database
roughike/BottomBar,8407,9.01,4,Java,https://github.com/roughike/BottomBar
hs-web/hsweb-framework,8364,9.17,28,Java,https://github.com/hs-web/hsweb-framework
google/tsunami-security-scanner,8354,4.79,25,Java,https://github.com/google/tsunami-security-scanner
apache/seatunnel,8345,7.62,49,Java,https://github.com/apache/seatunnel
flowable/flowable-engine,8292,8.43,27,Java,https://github.com/flowable/flowable-engine
DImuthuUpe/AndroidPdfViewer,8260,8.79,0,Java,https://github.com/DImuthuUpe/AndroidPdfViewer
apache/shardingsphere-elasticjob,8175,9.52,30,Java,https://github.com/apache/shardingsphere-elasticjob
testcontainers/testcontainers-java,8160,9.94,81,Java,https://github.com/testcontainers/testcontainers-java
alibaba/atlas,8140,8.05,7,Java,https://github.com/alibaba/atlas
florent37/MaterialViewPager,8119,9.90,11,Java,https://github.com/florent37/MaterialViewPager
guolindev/LitePal,8109,12.08,0,Java,https://github.com/guolindev/LitePal
wildfirechat/im-server,8093,6.15,103,Java,https://github.com/wildfirechat/im-server
alibaba/otter,8090,11.61,10,Java,https://github.com/alibaba/otter
apache/beam,8040,9.13,48,Java,https://github.com/apache/beam
frohoff/ysoserial,8030,10.14,1,Java,https://github.com/frohoff/ysoserial
Netflix/SimianArmy,7982,12.70,4,Java,https://github.com/Netflix/SimianArmy
davemorrissey/subsampling-scale-image-view,7938,11.56,21,Java,https://github.com/davemorrissey/subsampling-scale-image-view
JakeWharton/hugo,7922,11.31,0,Java,https://github.com/JakeWharton/hugo
pentaho/pentaho-kettle,7919,11.44,1,Java,https://github.com/pentaho/pentaho-kettle
alibaba/transmittable-thread-local,7873,11.43,58,Java,https://github.com/alibaba/transmittable-thread-local
aritraroy/UltimateAndroidReference,7865,7.94,0,Java,https://github.com/aritraroy/UltimateAndroidReference
junixapp/XPopup,7857,6.28,221,Java,https://github.com/junixapp/XPopup
HannahMitt/HomeMirror,7852,9.57,0,Java,https://github.com/HannahMitt/HomeMirror
dropwizard/metrics,7841,15.06,125,Java,https://github.com/dropwizard/metrics
ChrisRM/material-theme-jetbrains,7805,9.49,17,Java,https://github.com/ChrisRM/material-theme-jetbrains
LSPosed/LSPatch,7785,4.04,9,Java,https://github.com/LSPosed/LSPatch
apache/tomcat,7747,13.47,0,Java,https://github.com/apache/tomcat
bytedeco/javacv,7717,10.91,12,Java,https://github.com/bytedeco/javacv
trello-archive/RxLifecycle,7703,9.66,22,Java,https://github.com/trello-archive/RxLifecycle
software-mansion/react-native-svg,7660,9.17,121,Java,https://github.com/software-mansion/react-native-svg
vipshop/vjtools,7650,6.80,9,Java,https://github.com/vipshop/vjtools
goldze/MVVMHabit,7644,7.66,3,Java,https://github.com/goldze/MVVMHabit
